Type,Diff.Un,Diff.Adj
Binary,NA,-0.017327209970297963
Binary,NA,-0.001639778904463346
Binary,NA,3.738264725200169e-4
Binary,NA,0.006424484400021135
Binary,NA,0.012168678002220157
Binary,NA,-0.002038212336125597
Binary,NA,1.6766523624719976e-4
Binary,NA,0.003374332275449199
Binary,NA,0.008543767261246699
Binary,NA,0.0053271859019623224
Binary,NA,0.002978561530428067
Binary,NA,-0.018353299869207862
Binary,NA,-0.024783957861342992
Binary,NA,0.0014401611703958872
Binary,NA,-4.4044494542204785e-4
Binary,NA,0.019967780207985175
Binary,NA,0.006188189473956801
Binary,NA,-0.0023717280455728337
Binary,NA,-0.008963104163289284
